
"Population estimates - local authority based by single year of age"
"ONS Crown Copyright Reserved [from Nomis on 30 March 2023]"
"Gender     :","Total"
"Age        :","Aged 5-9"

"local authority: county / unitary (as of April 2021)","mnemonic","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"

"Darlington","E06000005",5886,5909,6146,6236,6359,6432,6543,6461,6622,6650,6592,6509,6328
"County Durham","E06000047",25383,25485,25920,26810,27558,28227,28876,29442,29792,29989,30272,29949,28220
"Hartlepool","E06000001",5208,5157,5168,5384,5553,5677,5780,5890,5936,5957,5923,5774,5540
"Middlesbrough","E06000002",8072,8220,8366,8575,8793,8903,9138,9320,9423,9606,9777,9840,9715
"Northumberland","E06000057",16276,16183,16339,16346,16665,16602,16804,16842,17131,16975,16890,16606,16655
"Redcar and Cleveland","E06000003",7192,6992,7120,7296,7515,7558,7724,7814,8048,8259,8295,8289,7809
"Stockton-on-Tees","E06000004",10673,10746,11113,11438,11883,12165,12526,12853,13086,13134,13044,12921,12373
"Gateshead","E08000037",10108,10118,10382,10654,10824,11307,11453,11704,11654,11626,11458,11378,11048
"Newcastle upon Tyne","E08000021",13829,13850,14076,14382,15036,15681,16373,16846,17259,17441,17506,17375,16711
"North Tyneside","E08000022",10317,10478,10799,11041,11394,11660,11811,11775,11919,11968,12077,11928,11964
"South Tyneside","E08000023",7535,7507,7595,7772,7955,8173,8315,8442,8688,8703,8787,8728,8544
"Sunderland","E08000024",14197,14035,14162,14581,15009,15162,15469,15613,15993,16002,16089,16080,15203
"Blackburn with Darwen","E06000008",10259,10352,10518,10612,10777,10872,10970,11075,11272,11152,11038,11042,11137
"Blackpool","E06000009",7358,7402,7509,7709,7887,7935,7856,7940,8196,8378,8459,8510,7873
"Cheshire East","E06000049",19664,19605,19840,20382,20882,21210,21334,21626,21937,22034,22080,22331,22113
"Cheshire West and Chester","E06000050",17217,17285,17415,17904,18391,18450,18637,18893,19405,19752,20213,20338,19802
"Halton","E06000006",7234,7273,7475,7670,8024,8241,8438,8400,8473,8488,8483,8387,7870
"Warrington","E06000007",11460,11473,11615,11812,12175,12437,12575,12870,13107,13102,13020,13001,12309
"Cumbria","E10000006",24881,24668,24805,25172,25655,25836,26119,26350,26511,26446,26399,26296,25276
"Bolton","E08000001",16564,16582,16967,17450,18073,18433,19016,19407,19898,19976,20190,20186,20323
"Bury","E08000002",10848,11015,11219,11457,11822,12068,12288,12485,12825,12794,12752,12541,12429
"Manchester","E08000003",26673,27616,28993,30421,31894,33077,34453,35184,36051,36333,36693,36964,36399
"Oldham","E08000004",15092,15296,15516,15674,16100,16490,16769,16975,16979,17013,17065,17033,17356
"Rochdale","E08000005",12954,12996,13202,13569,14015,14305,14722,15015,15343,15466,15626,15807,15506
"Salford","E08000006",12379,12660,13138,13790,14478,15127,15573,16151,16413,16745,17015,17194,16715
"Stockport","E08000007",15595,15622,15923,16520,17109,17472,17810,18086,18270,18484,18668,18763,18047
"Tameside","E08000008",12170,12297,12588,12830,13333,13621,14103,14431,14779,14986,15114,15068,14679
"Trafford","E08000009",13364,13652,14147,14610,15155,15647,15935,16373,16763,16663,16764,16558,15959
"Wigan","E08000010",17486,17734,18172,18514,19033,19448,19793,19941,20119,19991,19870,19827,19209
"Lancashire","E10000017",62907,63160,63834,65443,67477,69085,70473,71575,72453,72975,73309,73401,70843
"Knowsley","E08000011",8408,8320,8375,8574,8746,8924,9115,9304,9466,9630,9706,10051,9506
"Liverpool","E08000012",22434,22287,22329,23020,23700,24631,25434,26134,27123,27557,28099,28725,26766
"Sefton","E08000014",14035,13833,13790,14024,14354,14499,14906,15300,15514,15647,15928,15833,15095
"St. Helens","E08000013",9373,9227,9334,9525,9810,10067,10327,10495,10839,10802,10828,10701,10315
"Wirral","E08000015",17638,17612,17772,18179,18526,18793,19085,19356,19741,19722,19797,19711,18697
"East Riding of Yorkshire","E06000011",16663,16646,16616,16951,17295,17542,17729,18032,18195,18169,18189,18262,17331
"Kingston upon Hull, City of","E06000010",13477,13649,14118,14557,15280,15689,16215,16562,16999,17211,17256,17170,17209
"North East Lincolnshire","E06000012",8724,8778,9052,9265,9550,9803,9980,10032,10196,10255,10260,10122,9507
"North Lincolnshire","E06000013",9218,9226,9431,9706,10004,10321,10529,10609,10674,10578,10392,10191,9606
