time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,cla_group,characteristic,number,percentage
2021,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Distance not known or not recorded,6220,8
2021,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed inside LA boundary less than 20 miles from home,39850,50
2021,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed inside LA boundary more than 20 miles from home,3610,5
2021,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed outside LA boundary less than 20 miles from home,16930,21
2021,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Placed outside LA boundary more than 20 miles from home,13320,17
2021,Reporting year,National,E92000001,England,,,,,,Location of new placements during the year,Total new placements,79920,100
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Allegation (s47),580,1
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Approval removed,320,1
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Carer requests placement end other than due to childs behaviour,2920,6
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Carer requests placement ends due to childs behaviour,5200,10
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Change in the status of a placement only,9310,18
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Change to/implementation of care plan,18180,35
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Child requests placement to end,2010,4
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Custody arrangement,200,~
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Other,11620,22
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Resignation or closure of provision,370,1
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Responsible/area authority requests placement ends,770,1
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Standards of care concern,600,1
2021,Reporting year,National,E92000001,England,,,,,,Reason for placement change during the year,Total placements changing,52080,100
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Distance not known or not recorded,120,2
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed inside LA boundary less than 20 miles from home,3690,62
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed inside LA boundary more than 20 miles from home,100,2
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed outside LA boundary less than 20 miles from home,1400,23
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Placed outside LA boundary more than 20 miles from home,650,11
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,Location of new placements during the year,Total new placements,5950,100
