time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,la_name,new_la_code,age,accommodation_type,number,percentage
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Bed and breakfast,10,~
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Community home,490,4
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Deported,c,c
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Emergency accommodation,40,~
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Foyers,330,3
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Gone abroad,c,c
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,In custody,300,3
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Independent living,1270,11
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,No fixed abode/homeless,60,~
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Ordinary lodgings,120,1
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Other accommodation,310,3
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Residence not known,30,~
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,"Semi-independent, transitional accommodation",3780,31
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Supported lodgings,810,7
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total,12080,100
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,Total information not known,630,5
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,With former foster carers,2250,19
2021,Reporting year,National,E92000001,England,,,,,,17 to 18 years,With parents or relatives,1640,14
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Bed and breakfast,50,~
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Community home,1170,4
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Deported,10,~
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Emergency accommodation,230,1
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Foyers,740,2
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Gone abroad,50,~
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,In custody,1040,3
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Independent living,11540,36
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,No fixed abode/homeless,260,1
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Ordinary lodgings,510,2
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Other accommodation,1080,3
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Residence not known,230,1
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,"Semi-independent, transitional accommodation",5660,17
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Supported lodgings,1450,4
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total,32500,100
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,Total information not known,2210,7
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,With former foster carers,2720,8
2021,Reporting year,National,E92000001,England,,,,,,19 to 21 years,With parents or relatives,3570,11
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Bed and breakfast,0,0
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Community home,20,4
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Deported,0,0
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Emergency accommodation,c,c
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Foyers,c,c
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,Gone abroad,0,0
2021,Reporting year,Regional,E92000001,England,E12000001,North East,,,,17 to 18 years,In custody,10,2
